id,name
IE552577,Celisa Leasing Company Limited
IE908202,Emerald Aviation AOE 7 Limited
SC121007,Sunlaws Development Company Limited
IE137567,Harvest Financial Services Limited
NI018889,"Northern Ireland Chest, Heart & Stroke"
NI069074,Randox Food Diagnostics Limited
SO301379,Dac Beachcroft Scotland LLP
FC023103,"Leader Holdings, Inc."
OC390567,Chem Aviation LLP
OC401650,Livingbridge Enterprise LLP
IE476915,Lisheen Wind Farm II Limited
IE579463,As Air Lease XXXII (Ireland) Limited
IE908319,"Engis Technologies, Inc."
OC349310,Brompton Real Estate Investors LLP
OC308830,SV Health Investors LLP
OC383115,Alpha Technologies LLP
SC072886,Skene Enterprises (Aberdeen) Limited
FC029839,Stateca Designated Activity Company
IE446196,Masl Ireland (11) Limited
NI055207,Diaceutics Ltd
OC306306,Nicholas Hare Architects LLP
OC384807,Spark of Genius North East LLP
FC029997,Sekisui Jushi Strapping BV
IE582844,WF Shap Ireland Designated Activity Company
SC157767,Call-In Homecare Limited
SC280263,Fyne Initiatives Limited
SC370614,The Social Care Community Partnership Limited
10255197,SG Fleet UK Holdings Limited
6250753,Semperian PPP Investment Partners No.2 Limited
7733196,The Family of Learning Trust
7887259,Goldsworth Trust
7068033,Amey Ventures Management Services Limited
9880877,Sundance Acquisitions Limited
7780272,Bl Doncaster Wheatley Limited
8516821,Pentagon Sport (South) Limited
FC025055,"WTT, Inc."
SC127099,Arc-Tech (Scotland) Limited
SC223302,Social Investment Scotland
